Date,AAPL,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DHR,DIS,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2010-01-04 00:00:00-05:00,493729600,10829095,3650100,4710200,7750900,18748700,5277400,2750500,151998000,5387000,6894300,6186700,180845200,6127700,863200,238700,14376100,1575000,40679350,7325600,4874200,28965636,4447400,13880848,3280200,7906000,59853700,14676800,10173800,5868605,13700400,4152133,3781000,6123375,60855800,3215100,1198500,13997032,16809000,78541293,78169752,9135000,13120900,8223402,6438444,47800900,9506200,35460500,13870400,1233000,6067100,2408300,9616700,9321000,5839300,7953300,6109400,5348574,3640265,11048600,14563532,20371000,38409100,10408800,172396000,11972400,800204000,26795000,6585900,54898644,9190800,7844500,14570200,9699415,16370000,14023600,5119300,3450498,38576858,4589100,7182800,2656050,10369300,12199500,5894200,3897200,12891700,20180000,16176648,39335700,62259300,27809100
2010-01-05 00:00:00-05:00,601904800,10562109,2613000,7108800,8920500,22145700,7882800,2575800,177038000,3011000,10641200,8867800,209521300,7189300,801100,198800,16973600,1310000,66861710,5697200,5296800,37871031,8029400,10084524,2775800,7942400,45124500,7512000,10593700,5078566,10307700,3872367,2707500,7321805,215620200,2493300,1535400,13469263,20788200,120638494,120067812,11659400,15594300,7210668,7156104,52357700,10673100,41208300,23172400,2170900,7517100,2356500,14428400,12906000,7099000,37152800,6568600,6288025,3405012,11742100,15452550,22523400,49749600,11186400,237531000,6275200,728648000,28669900,8886000,45714931,8649400,7168600,24241000,7952786,30058800,13248300,4948100,4342568,46650478,4760100,3221900,2088600,10943800,11180700,6737000,5966300,14503500,25833600,23722957,55416000,46945200,30174700
2010-01-06 00:00:00-05:00,552160000,11401417,5772100,5336400,7163500,18643400,6015100,3215300,143576000,5331000,8399400,8836500,205257900,7250600,1007800,278500,15528900,1760000,67433890,4718800,7195200,29600074,5819000,11631913,3722900,5122400,35715700,11319600,11014600,5595736,10709500,3486567,4314700,5732778,200070600,2491000,1149700,11573422,32750400,159744526,158988852,7381100,8833200,6588115,5863144,40037400,13171500,27729000,19264600,2359700,7661600,5208100,12448200,10785000,10551300,40848800,7470700,4722049,6301126,21307300,15971415,17028500,58182400,13493200,232904000,13399200,649168000,24560700,9998000,43640975,9908400,11777200,22743800,7511044,14209600,10143700,5061700,3476223,50172450,7217400,3065000,5595400,8933800,9761100,5363800,5770200,12293600,16254000,37506464,33237000,37551600,35044700
2010-01-07 00:00:00-05:00,477131200,12857232,4022900,5576700,9235500,26806800,10371600,2615000,220604000,2718000,8981700,14379100,320868400,11052000,768700,218300,15761700,1505000,67245190,5432900,3752200,32239192,7885800,7648922,4527600,4840000,31531200,17940200,9626900,4950612,8202100,2376033,3085700,7188054,130201700,3093200,1262300,38701038,20892600,257533695,256315428,8727400,12058200,10892792,6109268,54041500,10901600,44864700,13234600,2105100,5997100,7038300,16572300,11273000,7517700,18359900,6895200,7066019,5346240,14983300,12488597,18693000,50559700,9768800,99554000,7187600,547792000,30469700,10792000,41557112,8972800,8905400,25266300,6776132,10256000,19494500,3481100,3986356,44486797,12531000,2638300,4430250,10775400,11789800,5040400,5747000,15241200,27841200,25508242,61649000,31988100,27192100
2010-01-08 00:00:00-05:00,447610800,12148604,5069700,5429200,12702600,13752800,6576000,1934600,196610000,2899000,7907700,7146600,220104700,7144000,756600,224400,18730800,1500000,62409770,6651300,8150200,27159418,6929600,7284244,2348300,5510400,39115900,21856500,5624300,6698815,7657500,1654100,3477500,7136601,130463000,4351200,1582000,24019636,17618400,189680313,188783028,7268100,15609800,7595173,4390271,48234700,7898000,33110100,28712400,1424900,5624400,3629400,8668900,8635000,6107300,11000000,4947200,5395474,4073337,10822200,11283921,15993400,51197400,9074400,81809000,7249600,478168000,23542400,8674700,32049716,8464600,6580800,25938200,7396477,10274800,9655100,3513800,4005809,36586622,6512800,3162200,6763800,12875600,7228700,7691200,13779300,9935000,11907200,20658308,35508700,34089600,24891800
2010-01-11 00:00:00-05:00,462229600,10947270,4231900,4901400,10730700,23700100,4062700,3276000,175588000,5127000,7396000,5624900,168991600,9365000,784500,207900,14106100,2620000,47557650,21958800,7054200,40662516,5299100,8968059,1830400,6399200,35852900,9829000,11916800,5300848,11250500,2195633,3356800,7142629,170626200,6131900,1508400,15999249,17399000,289597429,288227484,7704900,23670500,5694015,5993998,51086400,7975700,31878700,28642400,1343000,4793400,1973500,7975300,11171000,6081300,11819700,4339400,8013212,3500812,11921000,10041726,10088500,68754700,24571600,67837000,10678000,556612000,19002400,6461200,34199665,14774600,6090900,14672400,8787170,11387000,9586600,3609500,2662602,34147549,3751700,2844500,4726350,11677000,7206900,6118600,13744900,8482600,12912000,21974989,24387800,41963100,30685000
2010-01-12 00:00:00-05:00,594459600,10939350,5557100,5073900,9036300,33387100,11268300,2973600,181926000,9167000,12657300,5273800,223486800,8932700,1222300,208100,11940500,1740000,47011810,13561900,5733800,38712894,6491900,11301079,2113300,21053200,35780400,11745000,12175200,5734997,14618300,2650933,4337000,6472894,162995900,3345100,1677200,13484329,13968600,194859654,193937868,10360100,23075800,5018599,8453249,69958400,10820700,47109600,23269800,1171200,4700800,2119000,10248100,8595000,7199400,19561000,4321600,7270784,3626033,15306300,11445942,14813400,65912100,22500400,63301000,11485600,627432000,26204600,9081800,43501847,13460700,6752900,18009100,7423808,15429600,11449100,4354600,4696653,34831527,5472000,3253600,14308600,21165300,13121500,6647000,5662500,13119300,12842000,14407568,39795000,45351000,31496700
2010-01-13 00:00:00-05:00,605892000,10538975,4496800,3660100,6138000,32741900,5056200,2799900,214464000,9439000,10137200,4950400,192609900,5872400,841000,203400,14428100,1535000,41035110,8398700,4570600,33646565,6079100,9470737,2051500,20649600,43683900,11407200,10842200,3746956,9620600,3035233,3564000,5070754,154527100,2855700,1797800,13634482,17846200,260838034,259604136,11269500,15639100,4560532,6752348,71446700,13023800,39622000,15157400,1257800,5320900,2245100,10514000,8585000,8623000,18000100,3999800,7478018,3709992,11938400,26593419,18715500,51863500,23431200,144221000,5648800,508868000,24912300,7380100,62728072,16968100,5926400,12426700,7749712,15098400,12530900,4961300,4540392,56390352,4793400,2890300,7766750,18809200,8797200,7353000,5822600,12736800,13428800,17108741,36715300,39872100,24884400
2010-01-14 00:00:00-05:00,432894000,8982493,3312500,4536200,6143300,22556600,4668900,4387600,195498000,10654000,8238400,3000400,142634200,5943500,1402500,163900,11354600,1325000,27417030,6224100,5403800,37156781,4302700,8835699,2145700,10400400,52302100,9664800,6721000,2830154,9235600,1919767,5364100,7867744,116531200,2104300,2332600,11969170,16884800,170239717,169434396,10521400,13208200,3817897,7438943,150821600,7899000,37938300,12392600,1401500,6417300,1954500,10643500,12433000,7095600,10023700,4260600,6330324,3150384,9619900,23081466,24690000,63228100,32314400,176855000,7311600,608524000,44685200,7211600,49820367,9139500,4602200,13751800,5643016,15517400,6612800,2654200,2790269,55933836,7498700,1885800,4879400,22908400,8818300,6153600,4698000,13383700,18379600,23054221,31540700,41316000,18630800
2010-01-15 00:00:00-05:00,594067600,16132555,4734200,6732300,5545200,34336600,7240000,3130300,307530000,1587000,13629000,5067300,195117100,10784600,1210900,197000,13449500,2570000,54017740,9397000,7913200,46132812,7222400,11596757,3081700,8564800,51648100,14320000,13482300,5223183,13936400,4349933,4524600,8902420,96149800,4369700,1829400,15463551,19067400,218194794,217162620,10896300,23013500,6376108,8885142,198078600,20995000,69738500,27460800,1788900,6519600,2041900,12862400,19419000,9429100,25979600,5663300,8547733,4730180,16158600,21854258,27908700,79913200,24167600,130312000,11293200,818192000,42296200,8361200,80760537,15768300,8269200,21540300,8490504,21862600,13235600,7412400,3910458,84760229,9093100,5187800,5408950,20359100,19382000,8678000,6066300,13590500,21295200,46642300,47255900,57262500,29411900
