Date,Mean-Variance,Shrinkage,Bayesian,Robust,Equal Weight
2011-01-04 00:00:00-05:00,1004097.6429804291,1004019.1229647264,1004100.6163099775,1004041.8894862895,1000883.8865415466
2011-01-05 00:00:00-05:00,1027584.6199949709,1027491.6030134396,1027588.1450952317,1027518.5755620371,1009354.0915794555
2011-01-06 00:00:00-05:00,1022363.5891055096,1022234.2306260704,1022368.4896449543,1022271.7385922183,1007400.4370614644
2011-01-07 00:00:00-05:00,1024753.9653198086,1024611.4177384934,1024759.3550852223,1024652.7404694885,1006188.4234057271
2011-01-10 00:00:00-05:00,1031072.5559170535,1030819.7323587097,1031082.111053638,1030893.01656843,1005687.7750451219
2011-01-11 00:00:00-05:00,1029473.0563561838,1029140.0572680825,1029485.6460881226,1029236.5825091595,1006211.7105704445
2011-01-12 00:00:00-05:00,1030255.0401958225,1029883.0399787195,1030269.1063548572,1029990.8698875519,1015236.8161608271
2011-01-13 00:00:00-05:00,1034779.9015638286,1034391.683783119,1034794.578069558,1034504.2113921857,1014072.9624361818
2011-01-14 00:00:00-05:00,1033849.0130273652,1033521.5265438006,1033861.3937444014,1033616.4543799665,1020776.4038588702
2011-01-18 00:00:00-05:00,1026668.7473465896,1026411.8276554447,1026678.4580607924,1026486.3043069933,1021083.9128782513
2011-01-19 00:00:00-05:00,1007387.0783694346,1007178.4114118295,1007394.9630759495,1007238.8997328117,1010924.2610823581
2011-01-20 00:00:00-05:00,991539.2269177762,991467.5089233766,991541.9359442035,991488.3046687184,1011902.5834251702
2011-01-21 00:00:00-05:00,989160.1981901247,989117.7174475522,989161.8035637877,989130.0395538966,1013511.4095371288
2011-01-24 00:00:00-05:00,990936.8765727555,990949.4413039129,990936.4014873207,990945.8067565776,1018833.8760305989
2011-01-25 00:00:00-05:00,993457.5713183315,993550.2376033928,993454.0696966285,993523.3835316056,1018961.9047485926
2011-01-26 00:00:00-05:00,1000958.9056966387,1000917.642383215,1000960.4682782809,1000929.6174982862,1020258.4914501338
2011-01-27 00:00:00-05:00,1026930.7539431384,1026822.8605019697,1026934.836400036,1026854.152149545,1026308.2255311233
2011-01-28 00:00:00-05:00,998204.4996270187,997998.9443383935,998212.277921972,998058.5476470423,1006259.2520211147
2011-01-31 00:00:00-05:00,997303.3821439446,997014.9027480247,997314.2960793129,997098.5408710355,1009924.2217931353
2011-02-01 00:00:00-05:00,1007850.0493327162,1007624.1663163621,1007858.5958371698,1007689.6622265041,1025361.1261953075
2011-02-02 00:00:00-05:00,1004146.5062468965,1003976.479983174,1004152.941959646,1004025.7872021742,1022876.9788906887
2011-02-03 00:00:00-05:00,1002716.0751346102,1002536.9634689172,1002722.8612741723,1002588.8980233101,1024731.5441432303
2011-02-04 00:00:00-05:00,1017221.5385056087,1017039.8806835647,1017228.4308058035,1017092.566376518,1027998.520054716
2011-02-07 00:00:00-05:00,1021969.2291727301,1021786.714676018,1021976.1481198962,1021839.6463057809,1033707.1898138112
2011-02-08 00:00:00-05:00,1029554.1495492273,1029370.2961913618,1029561.1233364537,1029423.6175685868,1040552.5638842916
2011-02-09 00:00:00-05:00,1032235.7033063115,1032051.4041893444,1032242.7054808761,1032104.868960337,1038521.5682946636
2011-02-10 00:00:00-05:00,1036354.092096757,1036169.0631074209,1036361.1182779738,1036222.7503933796,1038151.1991750827
2011-02-11 00:00:00-05:00,1054267.2028674143,1054079.0010911266,1054274.3557055448,1054133.610879343,1045652.1800829272
2011-02-14 00:00:00-05:00,1066438.39881027,1066248.0311325504,1066445.6335814148,1066303.2613647445,1046858.7828104703
2011-02-15 00:00:00-05:00,1062379.8565700087,1062190.210110554,1062387.0606502849,1062245.2282071912,1045446.5119612839
2011-02-16 00:00:00-05:00,1065164.3509397316,1064974.2012956378,1065171.5746854923,1065029.3546688887,1050149.4929793847
