Model,Estimation Window,Sharpe Ratio,Annual Return,Annual Volatility
Mean-Variance,126,0.810367459718543,0.13838748741617524,0.1707712788273113
Shrinkage,126,0.8106549232882629,0.13855787372118916,0.17092090572787283
Bayesian,126,0.8103583053129142,0.13838414958008924,0.1707690890224827
Robust,126,0.8102828351825578,0.13836595182887665,0.17076253601954017
Mean-Variance,252,0.7525392449765866,0.13207739557828302,0.17550898037535875
Shrinkage,252,0.7524601866787672,0.1321562591679009,0.17563222813318066
Bayesian,252,0.7525380801895469,0.13207058922908568,0.17550020750553932
Robust,252,0.752458524478631,0.13205678730459278,0.17550042030036572
Mean-Variance,504,0.7917157935016327,0.13698263730390317,0.17301996300724384
Shrinkage,504,0.791949865489748,0.1370968817353818,0.17311308166028921
Bayesian,504,0.7916593958323924,0.13696088653983904,0.1730048140157942
Robust,504,0.7916734849231145,0.1369685655571674,0.17301143484737205
