Model,Period,Start,End,Days,Sharpe,Return,Volatility,Max DD,Turnover
Mean-Variance,Pre-COVID (2015-2019),2015-01-01,2019-12-31,1257,0.8171175425876145,0.14258230972235414,0.1744942462877866,-0.2587410120964136,9.210760742504997e-05
Shrinkage,Pre-COVID (2015-2019),2015-01-01,2019-12-31,1257,0.8171129425333771,0.14258180378763008,0.1744946094545626,-0.2587425388652326,9.147262189741849e-05
Bayesian,Pre-COVID (2015-2019),2015-01-01,2019-12-31,1257,0.8171067927557103,0.14258058358575595,0.17449442943057647,-0.25874121324066496,8.284568755444853e-05
Robust,Pre-COVID (2015-2019),2015-01-01,2019-12-31,1257,0.8171159993601556,0.14258199097976967,0.17449418575993964,-0.25874108009809715,8.110714216182254e-05
Equal Weight,Pre-COVID (2015-2019),2015-01-01,2019-12-31,1257,0.8170899981523938,0.14257684842097643,0.17449344471645914,-0.25873893745430193,0.0
Mean-Variance,COVID Era (2020-2021),2020-01-01,2021-12-31,504,2.048719878928817,0.37317425886569,0.18214996725702,-0.09873884961990251,8.194672849876072e-05
Shrinkage,COVID Era (2020-2021),2020-01-01,2021-12-31,504,2.04873173909216,0.37317741245777347,0.18215045207584715,-0.09873892827345827,7.763352903949542e-05
Bayesian,COVID Era (2020-2021),2020-01-01,2021-12-31,504,2.048720012770292,0.3731729135137712,0.18214929867803872,-0.09873910562494076,9.10149571221569e-05
Robust,COVID Era (2020-2021),2020-01-01,2021-12-31,504,2.04871192069143,0.3731731894199053,0.1821501528111191,-0.09873838477329741,7.349151835454523e-05
Equal Weight,COVID Era (2020-2021),2020-01-01,2021-12-31,504,2.0487140973363824,0.37317346681150226,0.18215009468460264,-0.09873774763276759,0.0
Mean-Variance,Post-COVID (2022-2024),2022-01-01,2024-12-30,752,1.2144689638283304,0.23010592414578188,0.189470403113824,-0.2092922118421111,9.208368959310227e-05
Shrinkage,Post-COVID (2022-2024),2022-01-01,2024-12-30,752,1.2144596614804761,0.23010403185042605,0.18947029625497797,-0.20929144098195482,9.046999377737409e-05
Bayesian,Post-COVID (2022-2024),2022-01-01,2024-12-30,752,1.2144691332191342,0.23010555679174374,0.18947007420585005,-0.20929159990490734,8.980212589176415e-05
Robust,Post-COVID (2022-2024),2022-01-01,2024-12-30,752,1.2144658706576363,0.23010599869635898,0.18947094706890033,-0.2092930469421273,7.239856678204582e-05
Equal Weight,Post-COVID (2022-2024),2022-01-01,2024-12-30,752,1.2144690378128085,0.23010790891233446,0.18947202583834177,-0.2092977367135648,0.0
