Model,Transaction Cost (bps),Sharpe Ratio,Annual Return,Turnover
Mean-Variance,5.0,0.7634395346053565,0.1645118683198045,0.5256967498567
Shrinkage,5.0,0.7586976219993585,0.16372442827648978,0.5268067239475087
Bayesian,5.0,0.7638496200591166,0.16458305946745044,0.52556969727618
Robust,5.0,0.764761285260934,0.16476780281520242,0.5256423383832529
Equal Weight,5.0,0.7456730528115003,0.12696720113062818,0.0
Mean-Variance,10.0,0.748845930022545,0.161369336782735,0.5256967498567
Shrinkage,10.0,0.7440952723977801,0.1605752614908922,0.5268067239475087
Bayesian,10.0,0.749257913621034,0.16144128743049435,0.52556969727618
Robust,10.0,0.7501664622614098,0.1616255965412648,0.5256423383832529
Equal Weight,10.0,0.7456730528115003,0.12696720113062818,0.0
Mean-Variance,15.0,0.7342377865158229,0.15822680524566546,0.5256967498567
Shrinkage,15.0,0.7294784253843859,0.15742609470529464,0.5268067239475087
Bayesian,15.0,0.7346516672620119,0.1582995153935383,0.52556969727618
Robust,15.0,0.7355570820295094,0.1584833902673272,0.5256423383832529
Equal Weight,15.0,0.7456730528115003,0.12696720113062818,0.0
Mean-Variance,25.0,0.7049814632810101,0.15194174217152645,0.5256967498567
Shrinkage,25.0,0.7002048246157726,0.15112776113409948,0.5268067239475087
Bayesian,25.0,0.7053991340513169,0.1520159713196262,0.52556969727618
Robust,25.0,0.7062982302055767,0.15219897771945196,0.5256423383832529
Equal Weight,25.0,0.7456730528115003,0.12696720113062818,0.0
