Period,Model,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown,Days
Pre-COVID,Mean-Variance,0.12728936905963065,0.15124397329075048,0.8416161403993953,-0.22501317371484433,1258
Pre-COVID,Shrinkage,0.12742294267021792,0.15134487663446194,0.8419376030678472,-0.2251873817668811,1258
Pre-COVID,Bayesian,0.12727872613614494,0.15123751220767587,0.8415817231995242,-0.22500235932356935,1258
Pre-COVID,Robust,0.12725017149817436,0.1512324143817055,0.8414212787544291,-0.22499609690582564,1258
Pre-COVID,Equal Weight,0.12478630718745412,0.1343747778631373,0.9286438211979842,-0.19210824077190652,1258
COVID,Mean-Variance,0.17385471610207168,0.26592227930802786,0.6537801817676554,-0.3346315108431575,505
COVID,Shrinkage,0.1740218839959605,0.26612768173429113,0.6539037309531315,-0.33471560097304537,505
COVID,Bayesian,0.1738351894577965,0.2659091980862557,0.653738910533692,-0.33462684643503277,505
COVID,Robust,0.173837535347842,0.26591550770585115,0.6537322206124834,-0.33463034131260583,505
COVID,Equal Weight,0.17778085929703066,0.2695205288320866,0.6596189910557408,-0.37578621657965156,505
Post-COVID,Mean-Variance,0.07550835626339514,0.15805928662168886,0.4777217326313929,-0.23798504020470526,752
Post-COVID,Shrinkage,0.07561689744714395,0.15817674624854547,0.4780531856959935,-0.23816558509977917,752
Post-COVID,Bayesian,0.07550044831020011,0.15805036874486592,0.4776986533456137,-0.23796709306547267,752
Post-COVID,Robust,0.07550187426617609,0.15804989787833454,0.47770909870689565,-0.23795953986111495,752
Post-COVID,Equal Weight,0.05918599664523875,0.15632660751515054,0.3786047531256167,-0.24637565914856244,752
Full Period,Mean-Variance,0.13207739557828196,0.17550898037535823,0.7525392449765828,-0.33463151084315723,3520
Full Period,Shrinkage,0.13215625916789964,0.17563222813318013,0.752460186678762,-0.3347156009730456,3520
Full Period,Bayesian,0.1320705892290844,0.17550020750553885,0.7525380801895417,-0.3346268464350322,3520
Full Period,Robust,0.13205678730459147,0.17550042030036517,0.7524585244786259,-0.33463034131260605,3520
Full Period,Equal Weight,0.1269672028199067,0.1702719268658401,0.7456731427015924,-0.3757862165796518,3520
