,AAPL,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DHR,DIS,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2011-01-04 00:00:00-05:00,0.09999998388037837,-4.274593038873648e-09,-9.48585259662758e-09,-1.7606616756489473e-09,0.09999997943927065,-2.6335740918093784e-09,-5.0390189544257644e-09,-1.0358970373506557e-08,-1.2847614533238405e-08,0.09999998460678848,-7.845187967020169e-09,-1.0712953163930918e-08,-2.5485178480323875e-09,-8.37332168766336e-09,0.09999998021319446,-1.4135472335084256e-09,-8.002287571737763e-09,-1.058037481016727e-08,-1.6495624048712438e-08,0.0999999820360669,-6.1747778820391794e-09,-1.2698249458591055e-08,-8.38930631985423e-09,-1.3058959000420896e-08,-1.1205658185690147e-08,0.0999999806705524,-2.0649646184826225e-09,-7.851677021002694e-09,-1.0464682605718033e-08,-1.1529094645792058e-08,-1.0274753688705688e-08,-8.96140899415471e-09,-1.3164801640679539e-08,-3.872486219855144e-09,0.09999998221852019,-9.179399715153597e-09,-7.119411656635455e-09,-1.0735558964666748e-08,-1.900959582493266e-09,-5.019535709709855e-09,-5.019533464077612e-09,-5.4210006846465456e-09,-1.1649715688919163e-08,-1.359999057489451e-08,-9.345247408305535e-09,-6.634051531236385e-09,-6.385465391337046e-09,-5.8074651135466075e-09,-1.0175486079770492e-08,-1.0582789065343659e-08,-6.869286587292447e-09,-5.1718626231455615e-09,-8.71274155752643e-09,-2.5778341921267383e-09,-1.1715123853636605e-08,-1.0569732944883898e-08,-2.7817484343420014e-09,-1.1677453045893342e-08,-8.088947371304362e-09,-1.2894707053365742e-08,-6.755179206510452e-09,-3.351413689958769e-09,-4.4599714198798905e-09,-6.774007674663635e-09,0.09999996859112772,-1.3089748801223987e-08,-1.677397877930296e-09,-1.165428398410688e-08,-8.76442671878135e-09,-5.701366913138403e-09,-8.387655708703028e-09,-1.1150762682547605e-08,-9.169454509555301e-09,-9.287039950501656e-09,0.017075693151091156,-3.5836787574976943e-09,-1.1018288588645185e-08,-1.2218691830010714e-08,-9.290771887371818e-09,-1.1716380753838717e-08,-9.97623021808231e-09,0.09999998319442473,-1.1635261545986703e-08,-9.588680166899668e-09,0.08292515215044219,-1.2218803914534032e-08,-9.645918657434788e-09,-8.255730754101439e-10,-1.140783244992633e-08,-8.980201424939973e-09,-7.336111984499396e-09,-8.687692652137491e-09
2011-02-03 00:00:00-05:00,0.10000006726968118,-8.21163384539814e-08,1.6888467186875938e-08,4.501299146414119e-08,0.10000003316491363,-2.232694167781057e-08,1.3143215363476837e-08,4.565927439389696e-08,-8.445191799410092e-08,0.09999998437036028,-9.91444553126245e-09,-1.3178367685035208e-08,-4.9099336317319986e-08,-1.2057012801070983e-08,0.09999999655761947,-2.7917038935689907e-08,-1.1865517771221843e-09,-4.189548110692458e-08,-2.280011267255468e-08,0.10000018071459908,-8.741950661087462e-08,-8.393392486497086e-10,2.46061662714843e-08,-9.99971791481874e-07,2.0686140171908026e-08,0.10000001347980925,-3.942546998857869e-09,5.201551856773236e-08,2.8170956565830893e-07,1.0597265553766456e-08,6.580398443302898e-08,1.503415254652287e-08,7.194768819330972e-08,1.2277973442234304e-08,-6.149017413983057e-08,9.025528759168113e-10,1.7487463378852964e-08,5.0368727000169825e-08,2.917307771254115e-08,2.917403766757714e-08,2.9174349817898623e-08,-1.1254087833770978e-08,2.5378546699325885e-08,-3.4225578872222033e-07,7.660927119882886e-08,-2.4998961850303118e-08,-9.464515017990154e-08,7.452458999339375e-08,3.374131010843575e-08,1.2498526675668454e-07,4.091911431323601e-08,-4.8364116166958346e-08,1.4532391161779157e-09,-3.143863243328234e-08,3.580804724051204e-08,-2.5665748032818313e-08,-3.020246475006145e-08,9.1321989365884e-08,1.3572921753296277e-07,9.585860280260479e-09,2.2647587992162933e-08,2.6770575217032574e-08,5.1476674861761295e-08,7.088016382636105e-08,0.099999982329969,1.2033651312760864e-08,-1.2538351476576305e-09,-5.717035430691545e-08,1.740491078091478e-09,-4.5684762169100975e-08,-7.021574138829967e-08,1.499151556084779e-08,-4.370220933228334e-08,4.048100559179351e-08,-1.6793018061332633e-08,-6.618921087333472e-08,2.4114794359432385e-08,4.766773899571353e-08,6.801457110429446e-09,-4.577322929284077e-08,2.3773017203636672e-08,0.10000003271087089,0.10000006950126074,-2.253647958173064e-08,0.1000000611285674,1.9055969267371385e-08,6.300082652322881e-08,-1.504287198908484e-08,7.753928208083351e-09,-4.706630192641645e-09,-4.4270179741841526e-08,2.2663609986712905e-07
2011-03-07 00:00:00-05:00,0.09999955532853767,0.0,0.0,0.0,0.09999959215589316,0.0,5.0776239935548014e-08,0.0,5.355677494814688e-08,0.09999951016687104,1.4493684393676959e-07,0.0,0.0,0.0,0.09999950323646391,0.0,1.411267032217236e-07,0.0,0.0,0.09999959215589316,0.0,0.0,8.803504423801305e-09,0.0999995908060741,2.1966290676825642e-07,0.09999959215589316,0.0,1.6174291326377694e-07,9.622688785955457e-08,0.0,2.947569736401653e-07,0.0,0.0,0.0,0.0,2.5469778146249193e-08,6.661198499692879e-08,0.0,1.2833271695560927e-09,7.227168084046298e-08,7.226734058631078e-08,1.1683482479528098e-07,2.819683837053673e-08,1.149998247504881e-07,2.1906606291508505e-07,0.0,3.639320207009457e-08,8.06079347965439e-08,0.0,0.0,0.0,1.5084428347172278e-07,1.1703701749219102e-07,3.9788774647106555e-09,5.310160016575098e-09,1.5663647070053281e-07,1.0809828688416781e-07,1.244069050029671e-07,0.0,1.669867916712639e-07,0.0,3.1454968624753015e-08,0.0,0.0,0.09999957531059403,0.0,7.758737066813914e-08,1.283642349680736e-07,0.0,1.0874097279390626e-07,0.0,6.83417114016235e-08,0.09999959215589316,0.0,0.0,7.782802060454254e-08,0.0,1.8462775522197185e-07,1.4377777631083212e-07,0.0,3.919015440864097e-10,0.09999956146219299,2.1634238266073928e-07,0.0,0.0,1.0577839604726853e-07,4.290367026807019e-08,0.0,3.1003519241926285e-07,0.0,0.0,0.0
2011-04-05 00:00:00-04:00,3.775648052016915e-09,1.2029433512141887e-09,-2.5678196196178896e-09,-1.5962113721223866e-10,1.7312434295581248e-10,2.2848654708819123e-09,-3.0124111943713033e-10,1.6569029529787546e-09,-1.1101801753140818e-08,0.10000000128996324,-2.187197692180752e-09,-9.483877483633047e-09,-8.654893482569034e-09,-2.3775945565644438e-09,0.10000000049658492,2.525738618109659e-09,1.9994833506568046e-09,-6.55233905240103e-11,2.2253301764190075e-09,0.10000000198761512,-1.637689316191466e-09,1.0656114837597843e-08,-5.246219503754503e-09,0.09999999795396339,6.86321464281219e-09,0.09999999502816953,-4.012106781474743e-09,1.1293266578003929e-08,0.10000000146167526,-5.461792977829488e-09,5.774192487268234e-09,5.539891890493932e-09,9.380719162028801e-09,4.756180938717898e-11,5.6334656746572915e-09,-1.553607956028698e-10,-1.7533324553515444e-09,1.9733103693754843e-09,4.726175537431344e-09,-2.7513295680601843e-09,-2.7512796854731326e-09,2.6793730789839357e-09,-3.901323381420415e-09,2.79405699753008e-09,1.0242016774629228e-08,-1.3343708775697531e-08,1.4187513184582817e-08,1.0464709995903783e-08,8.776702005849238e-09,4.65779158565544e-09,7.060729059411697e-09,-9.253254572142392e-12,-1.8865604962724002e-09,1.041763364441286e-09,-6.346428562216482e-09,6.415275462174766e-09,-1.0420361818177416e-08,-1.0261832294730208e-09,7.24161515996518e-09,1.2786071419812063e-08,-5.848960057258556e-09,-3.147521563805085e-11,-7.267325307805632e-09,3.8449811860718565e-10,0.1000000044591871,-6.056300557350892e-09,-3.3402117238463235e-09,7.527604324381423e-10,3.5132146020306688e-09,-2.0049443007752048e-09,4.509622912631864e-09,8.2177632128959e-09,1.1557770681599587e-08,-8.978828861705682e-10,0.10000000219157924,1.984491376171616e-09,9.275015992609878e-09,3.149098361906456e-09,3.334083298929592e-08,-1.4666053828954798e-09,-6.115367615026318e-09,0.1000000082853018,2.3890166833475956e-09,1.7121727616211948e-09,2.9591044416612866e-09,-1.1656107662824344e-09,-4.942547619278326e-09,-3.2358146255669066e-09,0.09999986676072703,2.1462351604266736e-09,8.355860915397113e-09,-2.658229772452602e-10
2011-05-05 00:00:00-04:00,2.3000957866461336e-06,1.1110749681864922e-06,2.293868303595761e-06,3.8520513263549734e-07,6.364025550133072e-07,5.350921126460822e-07,7.037069248654386e-07,1.6984171900454342e-06,0.03087971555321962,0.10000293866594502,9.80863735035896e-07,1.0501102216767963e-06,0.0,2.582392350533527e-08,0.10000293866594502,1.1160330032965693e-06,1.6366043915644664e-06,7.481520220180922e-07,8.061232060023556e-07,0.10000293866594502,8.030875270036694e-07,2.1253365115159627e-06,1.5041487455966735e-06,2.0344595395541125e-06,2.249896191449124e-06,0.06899864842151025,0.0,6.058675075179784e-07,2.2240990240630356e-06,2.0636510186968987e-06,1.5726782547786241e-06,1.504364854489259e-06,1.2525412863005854e-06,5.356524208011809e-07,1.7381242582743462e-06,6.427982842167994e-07,5.246285950623931e-07,1.1029664079791176e-06,7.258141286509658e-07,9.68757663062823e-07,9.687578171353283e-07,6.564379761794714e-07,1.0301688306800615e-06,2.0729840649946425e-06,2.3146114081931846e-06,8.672413129229469e-07,7.434801375958913e-07,8.056323209178379e-07,1.9017763004285849e-06,1.873472488106764e-06,1.40026912158465e-06,3.2246364891581963e-07,3.9551357959173773e-07,1.4144398618469864e-06,1.316531166485929e-06,1.4121400727239954e-06,6.478152479023648e-07,7.324096551353251e-07,1.2322735078454816e-06,2.134556332207169e-06,9.402945160338982e-07,0.0,0.0,1.3497790693403975e-06,0.10000293866594502,8.737605961484212e-07,1.5459041678563747e-06,2.5115383459069894e-06,1.0428409767300649e-06,1.7983027947041361e-06,9.727711474275395e-07,0.10000293866594502,0.10000293866594502,1.641504645180556e-06,2.44765429144991e-06,8.094977755329646e-08,1.609718549356329e-06,2.15431189981023e-06,2.192587437778464e-06,0.0,1.0221600215769705e-06,0.10000293866594502,2.223157151407713e-06,0.10000293866594502,2.166783721263412e-06,1.128312905219949e-06,3.1701837629290024e-07,0.0,0.10000293866594502,0.0,7.561411689650994e-07,1.9631196576701326e-06
2011-06-06 00:00:00-04:00,0.0,0.0,0.09998162308147515,0.0,3.2729554924423414e-07,6.885808082497677e-07,0.0,0.0,0.00018355602861664543,0.09998181824273518,0.0,0.0,2.22247781681936e-06,0.0,0.09997842203182968,0.0,0.0,0.0,0.0,0.09998057289870756,0.0,0.0,0.0,0.0,0.0,0.0999827782769885,2.9117023152279404e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.800893883650363e-07,3.800879979886999e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7282545077665348e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.621994145242911e-07,2.994116179043389e-07,0.0,0.09997991155702435,0.0,0.0,0.0,0.0,0.0,0.0,0.09998073389093406,0.09998127926992856,0.0,0.0,0.0,0.0,0.0,0.0,2.976806861052352e-07,0.0,0.09997954643288647,0.0,0.09998167148073436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-06 00:00:00-04:00,0.0,0.0,1.5768096333366077e-05,2.7028223438366623e-07,7.63536265258423e-08,4.090742947898748e-08,0.0,4.107181982814172e-07,0.0999968369300764,0.09999614136124443,2.0644046047637442e-07,0.0,1.5153093989193015e-06,6.597761664684619e-07,0.09999643263159945,0.0,0.0,1.0361279935594404e-06,0.0,0.09999673036342045,1.4119787089504664e-07,0.0,0.0,0.0,5.277962741397303e-08,0.0999968369300764,8.49873784731608e-08,0.0,4.969771969994722e-07,5.326711434769267e-07,0.0,0.0,0.0,0.0,0.0,9.364166871551763e-07,7.972818566774288e-07,8.243115276784482e-08,0.0,8.664334668746613e-08,8.664156333130318e-08,6.430575821975247e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3537184697449994e-07,0.0,6.104317995116274e-07,1.110895550844574e-06,0.0,0.0,0.0,0.0,0.0,9.144666262083396e-07,0.0,1.7431903308814716e-06,3.849818385620486e-07,4.4656647362479577e-07,5.0557973404565385e-08,0.09999676073560006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999962027791083,0.0,0.09999581114439612,1.2101645098939319e-06,8.068146094583976e-07,0.0,0.0,1.6438557774041629e-06,0.0,0.0999968369300764,0.0,0.0999968369300764,7.154086412757945e-07,3.4035020885306886e-07,4.3511089104774676e-07,0.0,0.0,0.0,0.0,0.0
2011-08-04 00:00:00-04:00,0.10000003923882829,-1.7919396665579313e-08,0.1000000200000265,-8.751066215685646e-10,2.4479885324542396e-08,1.3560083649136372e-08,1.8199240064451237e-08,1.0318166291681133e-07,0.10000008711388195,0.09999998517452874,4.146674492540141e-08,4.2362103495930844e-08,-1.712050992691117e-08,2.1381302880890678e-07,0.10000000324896047,-7.178072797603437e-08,-9.01483218315236e-08,-1.2338768694098295e-07,1.9985663468620644e-07,-1.082184524457264e-07,3.2792948519896146e-07,5.913204257341945e-08,-1.245019094342803e-07,4.217802836438352e-08,-2.64828242272293e-07,-1.351079959677264e-08,1.5643916180004564e-08,2.1002929826486793e-08,2.6817434922173057e-07,1.0544840294674725e-07,1.7847932356992527e-07,-2.0476275236576428e-07,-2.747044085853311e-09,-2.447081423259593e-07,-6.363390841722655e-08,-4.258453492137042e-08,-7.588850084805613e-08,-2.6037486662980634e-07,1.0195400650852574e-07,-4.924580191062911e-08,-4.924090841908129e-08,-1.536723284254668e-07,1.991810123269884e-07,-2.0026492917988484e-07,1.094319434866878e-07,6.359124632801455e-08,-7.423997049462393e-08,-1.1478663063743631e-09,-1.8944001589802595e-09,1.0113031691562374e-07,-8.695281933408058e-08,-2.1930511041372086e-08,-5.820739592259966e-08,0.10000012003107907,-2.2197287883309069e-07,2.717648916689608e-07,-2.47067817728678e-08,-2.532845253444732e-08,1.6440798006993062e-07,2.779339715811769e-07,-6.307854964063559e-08,8.007842247340758e-08,-3.545891084497475e-08,1.352134919414067e-07,0.09999998264364565,-3.172543355902343e-09,0.09999998995262599,-2.7503804000489876e-08,-5.01277263975656e-08,-4.3443451626254884e-08,-1.1298362013808271e-07,-5.366088857671793e-07,4.48247681854709e-07,1.2164728039651414e-07,0.10000004062390805,-2.9820537805934995e-08,-8.470691814186595e-08,-2.6089605705391624e-09,8.318623599289107e-08,-1.789428022047718e-08,-2.484935844014683e-07,1.572765189922572e-08,-3.286638432474003e-07,0.09999992771945466,9.097087556862555e-08,9.461334226471144e-08,2.2201376874692673e-07,-1.5147320454276555e-07,-2.022358257395687e-07,-1.4075367827185534e-07,2.961033765845231e-07,2.706046241748665e-08
2011-09-02 00:00:00-04:00,0.09999936465424857,4.096155642233587e-07,0.09999936465424857,2.286517841166113e-07,0.0,0.0,0.0,0.0,0.09999936465424857,0.09999936465424857,0.0,8.000267027207302e-07,0.0,1.6206188436974993e-07,0.09999936465424857,0.0,5.661870571186511e-09,0.0,7.287835130557297e-08,3.1907129415859283e-07,7.118016675514081e-07,7.222571022331939e-07,0.0,0.0,1.5329747637592179e-06,0.0,0.0,1.7952479373498563e-07,0.0,1.8966520368137977e-07,0.0,3.4475928787927264e-07,0.0,1.1370741612421344e-06,0.0,0.0,6.722203620847722e-07,3.550418426622874e-07,3.9375914317755517e-07,0.0,0.0,0.0,1.457646725511596e-07,4.5925701570070983e-07,0.09998012224437813,5.055680049232383e-07,0.0,7.357795515815369e-07,1.26521286869732e-06,7.364043260388575e-09,2.683760370043859e-07,5.722947865027615e-07,0.0,0.09999919712189828,0.0,5.901729610010077e-07,0.0,0.0,0.0,1.8164295676036965e-07,0.0,0.0,1.5395109187510466e-06,0.0,0.09999936465424857,0.0,3.4126255208394834e-07,5.661100935739432e-07,3.257514780010344e-07,0.0,3.754073825770869e-07,2.6079901618058113e-06,2.1039113724466974e-07,5.625522291372971e-07,0.09999936465424857,0.0,3.2226367562476543e-07,2.206675881775087e-07,1.0326583828795515e-06,0.0,2.1072410020884293e-07,0.0,2.03807858925426e-07,0.09999936465424857,0.0,0.0,1.0154249338260244e-06,4.66998162350039e-07,2.7785107556684313e-07,2.1615844266395876e-06,0.0,3.5396490032248865e-07
2011-10-04 00:00:00-04:00,0.0999999997674984,1.2203534088617773e-09,2.5163781342468128e-09,2.5607658953815255e-09,-3.733428314015964e-09,-4.193174750936243e-09,-4.769243051340144e-09,4.522667667763735e-09,0.10000000024285957,0.09999999737115974,1.0044395907385969e-10,1.6285589687755408e-09,1.848474661531566e-09,-6.6068543424969e-09,0.10000000130345842,-7.61608364605183e-09,0.10000000298460615,1.434503442857199e-08,8.009018019608925e-09,-2.0529545307679705e-08,7.711455304388883e-08,-3.023178456451333e-10,5.3772558513385325e-09,8.266138517885404e-09,0.09999999946981529,-4.817885266350761e-09,-2.0723674655144945e-09,4.640728862589621e-10,2.096829498946103e-08,9.121910368208226e-09,5.6811293784646816e-09,4.096192828681605e-09,-6.353665954294556e-10,1.0228886615914398e-08,1.3548515974329906e-10,4.240030433778508e-09,3.713951408838484e-09,-3.6943620761455813e-09,2.304893011081042e-09,-1.351226609476791e-09,-1.3514669968290637e-09,5.249575078802284e-09,-5.214762206925257e-09,3.0980933835597703e-09,0.09999999331909629,1.87071475795721e-09,-2.9522407700573803e-09,-5.5508757950288865e-09,8.328070895443492e-09,-2.286895729902151e-08,1.3504618138773183e-08,5.7745670455824714e-09,-9.619669312426595e-10,0.0999999997411683,-1.8001280653612305e-08,-3.5318046113785424e-08,1.5717053545281855e-08,-3.0088391686807647e-09,-2.7429737598883805e-09,-3.803900069595419e-09,2.1099062673771583e-09,8.526676881096926e-10,4.458352052230262e-09,-1.0055428740059524e-08,-1.8013273760774919e-09,2.548578358058346e-09,-6.592656053847833e-09,-8.307281231562794e-10,7.293049421191976e-09,7.536201656774425e-09,-5.198230946175055e-08,-1.548598217075252e-08,-7.988758660482734e-10,-1.5292724396996227e-09,0.09999999290946515,2.0094975821213023e-09,6.5590562614437815e-09,5.434796588342657e-09,-6.8563959971087845e-09,5.041005383616666e-10,-7.391838311362025e-09,-6.855958264495448e-10,6.3362710281396455e-09,0.09999999108734167,-2.64874714175689e-11,1.2972483273055401e-08,-6.427665972134285e-09,-4.0969729589987456e-09,1.2632175174551767e-08,-6.166831106580865e-09,-6.148543860499598e-09,-2.4933650420387817e-09
